condition,n_aggr_cores,trial,agg_bw_gbps,sf_evict_total,sf_evict_rate,sf_victim_retry,tor_drd_pref,pmu_raw
A,11,4,11.4,413936,82787.0,0,8187550592,"{""unc_cha_core_snp.evict_one"": 216155, ""unc_cha_core_snp.evict_gtone"": 197781, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 8187550592, ""unc_cha_tor_inserts.ia_drd"": 4373041244}"
A,11,5,11.3,376814,75363.0,0,7961315417,"{""unc_cha_core_snp.evict_one"": 183238, ""unc_cha_core_snp.evict_gtone"": 193576, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 7961315417, ""unc_cha_tor_inserts.ia_drd"": 4471945957}"
A,11,6,11.29,345226,69045.0,0,8534214216,"{""unc_cha_core_snp.evict_one"": 163482, ""unc_cha_core_snp.evict_gtone"": 181744, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 8534214216, ""unc_cha_tor_inserts.ia_drd"": 3898902185}"
A,11,7,11.25,360863,72173.0,0,8183857973,"{""unc_cha_core_snp.evict_one"": 178121, ""unc_cha_core_snp.evict_gtone"": 182742, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 8183857973, ""unc_cha_tor_inserts.ia_drd"": 4202445840}"
A,11,8,11.27,360977,72195.0,0,8066012295,"{""unc_cha_core_snp.evict_one"": 176586, ""unc_cha_core_snp.evict_gtone"": 184391, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 8066012295, ""unc_cha_tor_inserts.ia_drd"": 4330954018}"
A,11,9,11.24,392175,78435.0,0,8414995715,"{""unc_cha_core_snp.evict_one"": 193290, ""unc_cha_core_snp.evict_gtone"": 198885, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 8414995715, ""unc_cha_tor_inserts.ia_drd"": 3956454670}"
A,13,0,13.23,333049,66610.0,0,9450240443,"{""unc_cha_core_snp.evict_one"": 143427, ""unc_cha_core_snp.evict_gtone"": 189622, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 9450240443, ""unc_cha_tor_inserts.ia_drd"": 4862989765}"
A,13,1,13.23,295563,59113.0,0,9456732800,"{""unc_cha_core_snp.evict_one"": 97982, ""unc_cha_core_snp.evict_gtone"": 197581, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 9456732800, ""unc_cha_tor_inserts.ia_drd"": 4863917172}"
A,13,2,13.85,315427,63085.0,0,9730832485,"{""unc_cha_core_snp.evict_one"": 127159, ""unc_cha_core_snp.evict_gtone"": 188268, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 9730832485, ""unc_cha_tor_inserts.ia_drd"": 4433881297}"
A,13,3,13.88,318152,63630.0,0,9582746446,"{""unc_cha_core_snp.evict_one"": 141855, ""unc_cha_core_snp.evict_gtone"": 176297, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 9582746446, ""unc_cha_tor_inserts.ia_drd"": 4602964786}"
A,13,4,13.77,328315,65663.0,0,9576967081,"{""unc_cha_core_snp.evict_one"": 129560, ""unc_cha_core_snp.evict_gtone"": 198755, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 9576967081, ""unc_cha_tor_inserts.ia_drd"": 4503747828}"
A,13,5,13.06,349988,69998.0,0,9502496328,"{""unc_cha_core_snp.evict_one"": 142083, ""unc_cha_core_snp.evict_gtone"": 207905, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 9502496328, ""unc_cha_tor_inserts.ia_drd"": 4851747043}"
A,13,6,13.88,322039,64408.0,0,9670139917,"{""unc_cha_core_snp.evict_one"": 126101, ""unc_cha_core_snp.evict_gtone"": 195938, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 9670139917, ""unc_cha_tor_inserts.ia_drd"": 4523325393}"
