cell,trial,victim_node,aggressor_node,victim_wss_mb,llc_capacity_mb,aggressor_region_gb_per_core,aggressor_cores,agg_bw_gbps,agg_progress_bw_gbps_untrusted,cycles_per_load,tsc_hz,latency_ns,l2_hit,l3_hit,l3_miss,l3_miss_fraction,longest_lat_cache_miss,sf_evict,cha_cxl_drd,cxl_flits_valid,imc_cas_rd,victim_numa_n0,victim_numa_n2,aggressor_numa_n0,aggressor_numa_n2,victim_numa_sample,aggressor_numa_sample
QC,18,2,-1,32,60,1,0,0.0,0,77.032,1899982130,40.54,1649743,224600438,9053,4e-05,46672,43,0,2716,392,0,1,0,0,7b1e93600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,19,2,-1,32,60,1,0,0.0,0,77.017,1899982183,40.54,1654959,224720101,6660,3e-05,35678,42,0,2377,392,0,1,0,0,75ab8f000000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,20,2,-1,32,60,1,0,0.0,0,76.995,1899976484,40.52,1692758,224820838,9117,4.1e-05,44292,46,0,3055,393,0,1,0,0,72b803800000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,21,2,-1,32,60,1,0,0.0,0,77.014,1899979360,40.53,1675067,224692047,9911,4.4e-05,62386,63,0,3368,396,0,1,0,0,743623400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,22,2,-1,32,60,1,0,0.0,0,76.994,1899978947,40.52,1699162,224874044,9333,4.2e-05,43331,29,0,3188,392,0,1,0,0,7e4977400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,23,2,-1,32,60,1,0,0.0,0,77.028,1899980484,40.54,1690814,224683268,7383,3.3e-05,41796,40,0,2833,396,0,1,0,0,7cb0e4600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,24,2,-1,32,60,1,0,0.0,0,77.041,1899981812,40.55,1679467,224588402,9231,4.1e-05,51513,34,0,2782,396,0,1,0,0,7f7a72c00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,25,2,-1,32,60,1,0,0.0,0,76.991,1899982237,40.52,1661432,224779629,11039,4.9e-05,49566,51,0,3146,396,0,1,0,0,7d1f0b600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,26,2,-1,32,60,1,0,0.0,0,76.978,1899982642,40.52,1670818,224820457,9162,4.1e-05,41618,34,0,3067,396,0,1,0,0,71f9a7200000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
QC,27,2,-1,32,60,1,0,0.0,0,77.014,1899978824,40.53,1692025,224868515,20411,9.1e-05,81016,55,0,3216,400,0,1,0,0,736b71600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,
