condition,n_aggressor_cores,sf_bypass,wss_bytes,trial,victim_cycles_per_load,victim_total_loads,sf_evictions_per_sec,sf_evict_total,sf_victim_per_sec,llc_victims_m_per_sec,l3_misses_per_sec,l2_hit_rate,mc_queue_occ,aggregate_bw_gbps,pmu_sec
R16,16,0,33554432,11,81.561,343298144,10267.4,110170,0.0,17283.5,34417.3,0.9258,3975843.1,0.0,10.73
R16,16,0,33554432,12,81.576,343236448,9031.3,96905,0.0,17423.1,33988.3,0.9268,3895385.0,0.0,10.73
R16,16,0,33554432,13,81.745,342538016,93463.8,1002907,0.0,101970.1,59203.5,0.8796,13829214.4,0.0,10.73
R16,16,0,33554432,14,81.598,343143104,13422.7,144032,0.0,18053.5,36127.1,0.9233,4621739.3,0.0,10.73
R16,16,0,33554432,15,81.594,343161792,12656.9,135809,0.0,20080.9,36171.7,0.9231,4567214.1,0.0,10.73
R16,16,0,33554432,16,81.589,343184096,12827.8,137642,0.0,20053.1,36068.3,0.9229,4514434.2,0.0,10.73
R16,16,0,33554432,17,81.59,343179040,14055.9,150818,0.0,22680.3,35468.8,0.9243,4643231.8,0.0,10.73
R16,16,0,33554432,18,81.591,343169920,18817.9,201924,0.0,27045.5,36226.2,0.923,5260807.1,0.0,10.73
R16,16,0,33554432,19,81.6,343134144,12693.7,136205,0.0,18822.4,35985.2,0.9237,4487330.8,0.0,10.73
R16,16,0,33554432,20,81.599,343140576,17067.6,183137,0.0,25155.7,36641.4,0.9225,5347377.8,0.0,10.73
R16,16,0,33554432,21,81.597,343145440,12318.7,132181,0.0,19423.0,36202.7,0.9233,4528773.2,0.0,10.73
R16,16,0,33554432,22,81.604,343119168,14233.2,152725,0.0,22207.1,36616.1,0.9227,4666378.5,0.0,10.73
R16,16,0,33554432,23,81.591,343172320,16879.2,181120,0.0,26071.4,35938.7,0.9237,4989542.9,0.0,10.73
R16,16,0,33554432,24,81.598,343144768,12815.6,137511,0.0,19376.0,36061.2,0.9236,4504781.3,0.0,10.73
R16,16,0,33554432,25,81.598,343145888,11207.4,120257,0.0,18722.5,36200.0,0.9232,4281819.0,0.0,10.73
R16,16,0,33554432,26,81.586,343193312,9694.1,104017,0.0,17812.2,35429.2,0.9246,4004894.3,0.0,10.73
R16,16,0,33554432,27,81.593,343165728,18655.1,200166,0.0,28214.2,35738.4,0.924,5045319.6,0.0,10.73
R16,16,0,33554432,28,81.585,343199744,11953.7,128265,0.0,18952.0,35299.2,0.9246,4379719.8,0.0,10.73
R16,16,0,33554432,29,81.588,343186048,12342.4,132435,0.0,21286.7,35457.2,0.9246,4568396.9,0.0,10.73
R24,24,0,33554432,0,81.612,343084832,66432.1,713095,0.0,46006.3,42903.3,0.9102,14697304.4,0.0,10.73
R24,24,0,33554432,1,81.617,343061152,237984.5,2553911,0.0,183874.3,43944.8,0.9081,34547545.8,0.0,10.73
R24,24,0,33554432,2,81.585,343200288,30329.2,325462,0.0,30387.5,37575.6,0.92,6201649.2,0.0,10.73
R24,24,0,33554432,3,81.588,343187456,14346.6,153945,0.0,22611.4,36799.7,0.9213,4585631.7,0.0,10.73
R24,24,0,33554432,4,81.594,343161792,21621.3,232006,0.0,28851.8,38081.1,0.9187,5621548.7,0.0,10.73
R24,24,0,33554432,5,81.576,343234336,14381.3,154314,0.0,22016.6,37084.1,0.9203,4613409.2,0.0,10.73
R24,24,0,33554432,6,81.595,343157056,21532.7,231052,0.0,30487.6,37619.3,0.9199,5522348.0,0.0,10.73
R24,24,0,33554432,7,81.595,343156256,31453.9,337516,0.0,33233.2,37819.1,0.9194,6198216.5,0.0,10.73
R24,24,0,33554432,8,81.583,343207872,14215.2,152884,0.0,21185.7,37029.0,0.9208,4548172.3,0.0,10.75
R24,24,0,33554432,9,81.59,343175200,13307.7,142795,0.0,21954.2,37625.3,0.9197,4590462.2,0.0,10.73
R24,24,0,33554432,10,81.573,343250496,14203.8,152409,0.0,24515.7,36692.7,0.9209,4566396.6,0.0,10.73
R24,24,0,33554432,11,81.586,343192288,21916.7,235240,0.0,31993.9,37029.4,0.9208,5576359.0,0.0,10.73
R24,24,0,33554432,12,81.591,343174336,14805.6,158871,0.0,22736.2,37283.1,0.9204,4746748.2,0.0,10.73
R24,24,0,33554432,13,81.598,343144896,18160.6,194867,0.0,26562.2,37966.4,0.9193,5363023.9,0.0,10.73
R24,24,0,33554432,14,81.587,343190368,13382.7,143604,0.0,22147.7,37281.5,0.9204,4647705.6,0.0,10.73
R24,24,0,33554432,15,81.588,343187104,15702.8,168497,0.0,25904.3,37392.6,0.9203,4899333.4,0.0,10.73
R24,24,0,33554432,16,81.588,343184672,18689.5,200544,0.0,29071.5,37217.5,0.9206,5191042.5,0.0,10.73
R24,24,0,33554432,17,81.582,343208576,14222.1,152609,0.0,22318.0,37650.9,0.9195,4676939.2,0.0,10.73
R24,24,0,33554432,18,81.585,343196544,11454.4,122910,0.0,21802.0,36683.0,0.9215,4412242.2,0.0,10.73
R24,24,0,33554432,19,81.595,343156800,10366.2,111233,0.0,20470.9,37242.9,0.9207,4223244.8,0.0,10.73
R24,24,0,33554432,20,81.596,343151040,21441.6,230071,0.0,29202.6,37755.0,0.9194,5177370.8,0.0,10.73
R24,24,0,33554432,21,81.593,343165408,16238.7,174247,0.0,22717.6,37563.3,0.92,4751762.1,0.0,10.73
R24,24,0,33554432,22,81.6,343135008,16628.5,178434,0.0,24513.6,37656.0,0.9198,4825077.4,0.0,10.73
R24,24,0,33554432,23,81.594,343160672,11934.3,128059,0.0,21324.2,37451.9,0.9205,4321739.5,0.0,10.73
R24,24,0,33554432,24,81.582,343210496,11115.6,119271,0.0,23798.8,36595.0,0.9218,4341289.6,0.0,10.73
R24,24,0,33554432,25,81.589,343180064,20448.0,219413,0.0,33020.1,37449.8,0.9201,5516341.2,0.0,10.73
R24,24,0,33554432,26,81.593,343164576,14624.9,156931,0.0,23415.5,37529.2,0.9201,4752804.0,0.0,10.73
R24,24,0,33554432,27,81.589,343180736,15146.3,162521,0.0,24558.3,37067.0,0.9209,4811918.0,0.0,10.73
R24,24,0,33554432,28,81.588,343184544,11271.4,120941,0.0,21155.7,36885.1,0.9213,4215061.3,0.0,10.73
R24,24,0,33554432,29,81.589,343179904,11528.0,123696,0.0,23606.9,37363.2,0.9205,4390305.8,0.0,10.73
R32,31,0,33554432,0,81.401,343973888,146617.3,1575616,0.0,126911.9,17990.6,0.9499,21303797.6,0.0,10.75
R32,31,0,33554432,1,81.376,344082048,32648.8,350348,0.0,31512.5,13108.2,0.9702,7913118.6,0.0,10.73
R32,31,0,33554432,2,81.36,344148032,26599.5,285425,0.0,28387.0,12692.3,0.971,7803544.4,0.0,10.73
R32,31,0,33554432,3,81.373,344093152,22147.1,237648,0.0,25109.7,13647.6,0.9689,7710567.6,0.0,10.73
R32,31,0,33554432,4,81.371,344099808,27935.8,299776,0.0,30947.0,13459.7,0.9694,8318432.0,0.0,10.73
R32,31,0,33554432,5,81.373,344094208,23865.4,256088,0.0,24692.5,13744.3,0.9687,8226878.2,0.0,10.73
