condition,n_aggressor_cores,pf_disabled,wss_bytes,trial,victim_cycles_per_load,victim_total_loads,sf_evictions_per_sec,sf_evict_total,sf_victim_per_sec,llc_victims_m_per_sec,l3_misses_per_sec,l2_hit_rate,mc_queue_occ,aggregate_bw_gbps,pmu_sec
R24,24,1,393216,17,18.256,1533751200,498294.4,5289023,0.0,327330.6,45269.0,0.9997,2480799813.3,0.0,10.61
R24,24,1,393216,18,18.254,1533925472,637589.7,6767650,0.0,335960.7,47864.0,0.9996,2482537981.1,0.0,10.61
R24,24,1,393216,19,18.255,1533808864,628098.7,6667014,0.0,342274.1,47464.6,0.9996,2484810240.6,0.0,10.61
R24,24,1,393216,20,18.256,1533690784,556791.7,5910010,0.0,329898.5,46382.5,0.9997,2483778455.6,0.0,10.61
R24,24,1,393216,21,18.261,1533345568,890983.0,9457317,0.0,398160.4,46927.4,0.9997,2494841841.4,0.0,10.61
R24,24,1,393216,22,18.25,1534217248,895079.0,9500737,0.0,365103.0,47897.8,0.9996,2491788935.5,0.0,10.61
R24,24,1,393216,23,18.247,1534495648,631639.5,6704520,0.0,339532.9,46146.8,0.9997,2484363256.0,0.0,10.61
R24,24,1,393216,24,18.254,1533930368,644529.3,6841207,0.0,343998.2,45871.9,0.9997,2484769341.6,0.0,10.61
R24,24,1,393216,25,18.248,1534404864,613116.9,6507992,0.0,334603.3,46164.2,0.9997,2483505711.5,0.0,10.61
R24,24,1,393216,26,18.255,1533788736,623946.7,6622719,0.0,339465.2,47855.4,0.9996,2483173631.6,0.0,10.61
R24,24,1,393216,27,18.252,1534074240,721744.7,7660849,0.0,346175.0,47059.8,0.9997,2487084475.9,0.0,10.61
R24,24,1,393216,28,18.249,1534292960,651910.8,6919561,0.0,340404.9,46643.8,0.9997,2485398910.1,0.0,10.61
R24,24,1,393216,29,18.254,1533927392,620400.6,6585214,0.0,334387.2,45935.6,0.9997,2485550536.4,0.0,10.61
R32,31,1,393216,0,18.769,1491810464,2799161.1,29712836,0.0,347453.0,55740.1,0.9996,3878855443.3,0.0,10.61
R32,31,1,393216,1,18.773,1491494240,3024371.3,32102144,0.0,356722.9,55807.7,0.9996,3883544151.3,0.0,10.61
R32,31,1,393216,2,18.777,1491156320,2962307.6,31443327,0.0,358738.5,57685.5,0.9996,3879511972.0,0.0,10.61
R32,31,1,393216,3,18.771,1491644384,2971969.4,31546266,0.0,358412.1,55077.5,0.9996,3882072117.1,0.0,10.61
R32,31,1,393216,4,18.789,1490254336,2972723.6,31554285,0.0,346403.6,54477.5,0.9996,3887862897.3,0.0,10.61
R32,31,1,393216,5,18.847,1485629600,3528609.7,37454421,0.0,346467.6,54957.1,0.9996,3891471607.2,0.0,10.61
R32,31,1,393216,6,18.782,1490818592,3051780.9,32393463,0.0,359723.8,56306.9,0.9996,3883150449.1,0.0,10.61
R32,31,1,393216,7,18.846,1485745504,3558868.3,37775823,0.0,356284.8,55640.0,0.9996,3887830275.7,0.0,10.61
R32,31,1,393216,8,18.841,1486097728,3519123.3,37354683,0.0,360355.4,57053.5,0.9996,3892934051.3,0.0,10.61
R32,31,1,393216,9,18.858,1484753408,3707161.0,39349691,0.0,356990.1,56212.4,0.9996,3898922243.5,0.0,10.61
R32,31,1,393216,10,18.887,1482491808,3825066.4,40601375,0.0,358782.4,58392.2,0.9995,3899229073.8,0.0,10.61
R32,31,1,393216,11,18.876,1483312128,3891965.7,41311384,0.0,363340.2,55003.7,0.9996,3899809701.8,0.0,10.61
R32,31,1,393216,12,18.899,1481546752,3860333.6,40976274,0.0,368309.1,56216.8,0.9996,3896853753.7,0.0,10.61
R32,31,1,393216,13,18.912,1480540320,4169993.7,44264515,0.0,362583.5,56545.0,0.9996,3898009617.2,0.0,10.62
R32,31,1,393216,14,18.889,1482345216,3878440.2,41167850,0.0,363551.7,58870.8,0.9995,3894919601.2,0.0,10.61
R32,31,1,393216,15,18.932,1479005248,4383842.3,46532129,0.0,369409.6,56369.0,0.9996,3895700168.2,0.0,10.61
R32,31,1,393216,16,18.891,1482143616,3858661.8,40958027,0.0,363566.8,57069.2,0.9996,3894657764.6,0.0,10.61
R32,31,1,393216,17,18.79,1490162208,3156632.9,33506371,0.0,363415.4,55268.0,0.9996,3895150349.6,0.0,10.61
R32,31,1,393216,18,18.858,1484785408,3593161.8,38139866,0.0,351354.8,55863.8,0.9996,3894348252.8,0.0,10.61
R32,31,1,393216,19,18.776,1491259552,3016813.9,32022077,0.0,346782.1,55108.1,0.9996,3893666686.7,0.0,10.61
R32,31,1,393216,20,18.778,1491095936,3120327.7,33121185,0.0,359075.6,56640.3,0.9996,3894711801.5,0.0,10.61
R32,31,1,393216,21,18.785,1490579040,3125278.2,33173834,0.0,361038.4,55297.4,0.9996,3894676465.8,0.0,10.61
R32,31,1,393216,22,18.789,1490213600,3164243.6,33587228,0.0,364322.8,57592.5,0.9996,3891423387.7,0.0,10.61
R32,31,1,393216,23,18.751,1493286400,2889890.2,30674950,0.0,362751.8,55132.5,0.9996,3891082586.2,0.0,10.61
R32,31,1,393216,24,18.829,1487052768,3416290.9,36262696,0.0,364515.9,57545.0,0.9996,3893680339.7,0.0,10.61
R32,31,1,393216,25,18.828,1487172896,3495650.7,37105298,0.0,363969.6,54883.0,0.9996,3890046088.4,0.0,10.61
R32,31,1,393216,26,18.852,1485265472,3586381.7,38067628,0.0,360362.6,58914.5,0.9995,3887285351.0,0.0,10.61
R32,31,1,393216,27,18.915,1480297696,4064107.0,43138541,0.0,358064.8,56736.2,0.9996,3893290269.2,0.0,10.61
R32,31,1,393216,28,18.95,1477554528,4270810.8,45332928,0.0,351419.7,58742.1,0.9995,3898463543.8,0.0,10.61
R32,31,1,393216,29,18.916,1480217792,4092112.4,43435765,0.0,354379.3,56769.7,0.9996,3896150866.5,0.0,10.61
Q,0,1,33554432,0,81.472,343673280,32547.8,349384,0.0,21547.8,16728.3,0.9634,4425351.6,0.0,10.73
Q,0,1,33554432,1,81.456,343742048,30898.9,331725,0.0,20072.7,11845.7,0.9738,4140075.7,0.0,10.74
Q,0,1,33554432,2,81.468,343690688,23320.1,250268,0.0,14340.8,9209.3,0.9795,3350401.4,0.0,10.73
Q,0,1,33554432,3,81.421,343888512,14068.0,150971,0.0,8958.3,5395.3,0.9878,2698804.9,0.0,10.73
Q,0,1,33554432,4,81.444,343790560,27976.5,300237,0.0,22306.7,8567.8,0.9809,3854256.1,0.0,10.73
Q,0,1,33554432,5,81.446,343781600,24284.4,260627,0.0,19771.7,9322.7,0.9792,3858962.0,0.0,10.73
Q,0,1,33554432,6,81.452,343757504,30682.5,329295,0.0,19164.2,11047.2,0.9755,4037920.9,0.0,10.73
