condition,n_aggressor_cores,trial,victim_cycles_per_load,victim_total_loads,aggregate_bw_gbps,agg_reported_bw,sf_evictions_per_sec,sf_evict_total,llc_victims_per_sec,l3_misses_per_sec,l2_hits_per_sec,l2_hit_rate,mc_queue_occ,tor_drd_occ
B,4,16,237.15,11806784,0.0,4.08,40932.2,441840,0.0,7407188.4,551368.0,0.0693,4007763170.1,220265953552.0
B,4,17,236.04,11862304,0.0,4.08,40106.5,432892,0.0,7393066.1,551683.8,0.0694,4008437220.5,220255734124.5
B,4,18,236.49,11839744,0.0,4.08,38126.5,411524,0.0,7399280.0,546960.3,0.0688,4008713680.9,220295329915.0
B,4,19,235.44,11892448,0.0,4.08,38612.2,416788,0.0,7385167.1,550983.5,0.0694,4008352873.0,220337701800.9
B,4,20,235.6,11884160,0.0,4.09,36605.3,395134,0.0,7389869.1,551339.1,0.0694,4009096982.0,220359964819.8
B,4,21,234.17,11956768,0.0,4.08,139532.0,1506076,0.0,7382709.9,551535.3,0.0695,4023394398.1,220427384408.1
B,4,22,236.47,11840640,0.0,4.08,75901.5,819277,0.0,7385903.1,551777.3,0.0695,4012693561.0,220431809511.5
B,4,23,236.27,11850848,0.0,4.08,63869.8,689394,0.0,7398484.4,549523.0,0.0691,4010546407.3,220297511880.3
B,4,24,236.81,11823680,0.0,4.09,41646.6,449554,0.0,7395226.7,549359.5,0.0691,4008134866.1,220398177300.9
B,4,25,238.85,11722752,0.0,4.08,42012.6,453505,0.0,7412013.1,549645.9,0.069,4007726076.3,220443748773.8
B,4,26,238.07,11760992,0.0,4.08,44832.2,483854,0.0,7413291.6,550095.4,0.0691,4009478152.9,220499249905.1
B,4,27,236.88,11820448,0.0,4.09,38256.6,412935,0.0,7394850.2,548748.8,0.0691,4007664017.7,220355699330.9
B,4,28,236.8,11824192,0.0,4.1,79597.6,859090,0.0,7396946.0,547786.3,0.0689,4015217967.7,220391478289.8
